platform,case,requests,errors,spawned,serving_pids,request_starts,request_ends,readable_events,readable_per_second,readable_bins_pct,longest_readable_run_ms,queue_alarm_ms,accepts_observed,event_next_accept_p95_ms,event_nearest_accept_p95_ms,unmatched_events,connect_accept_p95_ms,dispatch_start_p50_ms,dispatch_start_p95_ms,latency_p95_ms,dispatch_lag_p95_ms
linux,nginx-node-block-w4,140,0,4,4,140,140,25,12.5,55.0,428.575,143.774,140,14.878,0.789,0,,0.237,0.996,73.357,1.098
linux,nginx-node-low,20,0,1,1,20,20,11,5.5,27.5,0.0,,20,101.602,11.833,0,,1.996,2.472,76.446,1.158
linux,nginx-node-low,20,0,1,1,20,20,10,5.0,25.0,0.0,,20,102.513,0.712,0,,1.888,2.454,77.376,1.12
linux,nginx-node-w1,140,0,1,1,140,140,26,13.0,65.0,215.326,643.14,140,14.476,2.583,0,,0.35,1.923,75.144,1.253
linux,nginx-node-w1,140,0,1,1,140,140,26,13.0,65.0,185.186,301.13,140,14.581,0.856,0,,0.381,1.895,74.449,1.198
linux,nginx-node-w2,140,0,2,2,140,140,15,7.5,37.5,99.04,,140,14.976,0.736,0,,0.267,1.653,73.782,1.177
linux,nginx-node-w2,140,0,2,2,140,140,13,6.5,27.5,87.267,,140,14.728,0.502,0,,0.349,1.962,74.122,1.145
linux,nginx-node-w4,140,0,4,4,140,140,4,2.0,10.0,56.618,,140,13.51,0.799,0,,0.787,2.097,75.34,1.171
linux,nginx-node-w4,140,0,4,4,140,140,1,0.5,2.5,0.0,,140,13.536,0.464,0,,0.85,2.207,75.254,1.212
linux,nginx-php_cgi-low,20,0,1,1,0,0,19,9.5,47.5,0.0,,0,,,19,,6.46,7.793,82.827,1.238
linux,nginx-php_cgi-low,20,0,1,1,0,0,20,10.0,50.0,0.0,,0,,,20,,7.878,8.544,84.878,1.205
linux,nginx-php_cgi-w1,140,0,1,1,0,0,41,20.5,100.0,1985.613,137.373,0,,,41,,2135.419,4185.891,4203.517,1.088
linux,nginx-php_cgi-w1,140,0,1,1,0,0,41,20.5,100.0,1985.991,138.428,0,,,41,,2191.06,4335.964,4348.577,1.241
linux,nginx-php_cgi-w2,140,0,2,2,0,0,41,20.5,100.0,1979.949,131.99,0,,,41,,494.949,1028.308,1055.288,1.091
linux,nginx-php_cgi-w2,140,0,2,2,0,0,41,20.5,100.0,1978.671,129.822,0,,,41,,496.834,1037.856,1069.257,1.137
linux,nginx-php_cgi-w4,140,0,4,4,0,0,38,19.0,95.0,857.747,157.525,0,,,38,,1.085,3.263,74.557,1.097
linux,nginx-php_cgi-w4,140,0,4,4,0,0,40,20.0,92.5,1957.851,143.716,0,,,40,,1.141,2.743,74.836,1.089
linux,nginx-python-low,20,0,1,1,20,20,2,1.0,5.0,0.0,,20,0.116,0.116,0,,1.702,1.854,74.457,1.343
linux,nginx-python-low,20,0,1,1,20,20,8,4.0,20.0,0.0,,20,0.134,0.134,0,,1.531,1.769,75.22,1.315
linux,nginx-python-w1,140,0,1,1,140,140,40,20.0,97.5,1948.699,150.848,140,54.276,25.182,0,,1833.639,3588.447,3609.484,1.197
linux,nginx-python-w1,140,0,1,1,140,140,41,20.5,75.0,1983.485,150.198,140,58.051,26.353,0,,1847.564,3611.691,3632.788,1.232
linux,nginx-python-w2,140,0,2,2,140,140,40,20.0,100.0,1939.054,155.469,140,24.554,15.429,0,,411.09,826.018,856.56,1.157
linux,nginx-python-w2,140,0,2,2,140,140,41,20.5,100.0,1977.915,129.275,140,26.199,13.545,0,,411.627,824.893,853.548,1.176
linux,nginx-python-w4,140,0,4,4,140,140,20,10.0,50.0,130.16,172.755,140,0.118,0.118,0,,1.092,1.595,74.727,1.245
linux,nginx-python-w4,140,0,4,4,140,140,23,11.5,52.5,170.838,129.846,140,0.121,0.098,0,,0.729,1.616,73.898,1.266
linux,node-r10-w1,20,0,1,1,20,20,13,6.5,32.5,0.0,,20,99.991,0.549,0,0.519,0.707,1.55,75.963,1.398
linux,node-r10-w1,20,0,1,1,20,20,12,6.0,30.0,0.0,,20,100.836,4.864,1,0.361,0.653,1.771,75.77,1.18
linux,node-r10-w2,20,0,2,2,20,20,5,2.5,12.5,0.0,,20,98.587,4.46,0,2.465,1.016,6.141,75.112,1.341
linux,node-r10-w2,20,0,2,2,20,20,4,2.0,10.0,0.0,,20,100.744,0.319,0,2.173,0.713,5.845,75.235,1.277
linux,node-r10-w4,20,0,4,2,20,20,0,0.0,0.0,0.0,,20,,,0,2.402,0.791,5.335,77.479,1.336
linux,node-r10-w4,20,0,4,3,20,20,0,0.0,0.0,0.0,,20,,,0,1.824,0.759,5.576,74.423,1.396
linux,node-r70-w1,140,0,1,1,140,140,34,17.0,77.5,1100.138,144.183,140,14.961,5.053,1,0.141,0.292,1.335,73.379,1.261
linux,node-r70-w1,140,0,1,1,140,140,24,12.0,55.0,414.812,372.268,140,15.176,0.824,0,0.216,0.131,0.99,73.461,1.231
linux,node-r70-w2,140,0,2,2,140,140,16,8.0,40.0,243.07,286.186,140,14.692,0.682,0,0.147,0.182,1.25,74.868,1.18
linux,node-r70-w2,140,0,2,2,140,140,22,11.0,52.5,185.744,344.563,140,14.753,0.841,0,0.13,0.169,1.125,73.346,1.211
linux,node-r70-w4,140,0,4,3,140,140,1,0.5,2.5,0.0,,140,14.585,0.415,0,0.19,0.383,1.138,73.668,1.298
linux,node-r70-w4,140,0,4,4,140,140,2,1.0,5.0,0.0,,140,14.445,0.642,0,0.101,0.429,1.264,74.821,1.277
linux,parallel-load-1,140,0,1,1,140,140,36,18.0,75.0,1442.021,129.445,140,13.202,0.158,0,0.094,0.2,0.726,42.631,1.182
linux,parallel-load-1,140,0,1,1,140,140,37,18.5,67.5,842.405,100.848,140,0.167,0.167,0,0.082,0.235,0.657,42.873,1.137
linux,persistent-load-1,140,0,1,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1839.919,3517.093,3558.942,1.264
linux,persistent-load-1,140,0,1,1,140,140,0,0.0,0.0,0.0,,1,,,0,,1839.781,3528.327,3569.927,1.225
