platform,case,requests,errors,spawned,serving_pids,request_starts,request_ends,readable_events,readable_per_second,readable_bins_pct,longest_readable_run_ms,queue_alarm_ms,accepts_observed,event_next_accept_p95_ms,event_nearest_accept_p95_ms,unmatched_events,connect_accept_p95_ms,dispatch_start_p50_ms,dispatch_start_p95_ms,latency_p95_ms,dispatch_lag_p95_ms
windows,nginx-node-low,20,0,1,1,20,20,0,0.0,0.0,0.0,,20,,,0,,20.442,27.148,120.689,0.74
windows,nginx-node-low,20,0,1,1,20,20,0,0.0,0.0,0.0,,20,,,0,,20.201,28.145,125.644,0.815
windows,nginx-node-w1,140,0,1,1,140,140,0,0.0,0.0,0.0,,140,,,0,,12.159,24.909,98.564,0.92
windows,nginx-node-w1,140,0,1,1,140,140,0,0.0,0.0,0.0,,138,,,0,,13.675,26.172,103.654,0.831
windows,nginx-node-w2,140,0,2,1,140,140,0,0.0,0.0,0.0,,139,,,0,,7.717,21.443,104.053,0.886
windows,nginx-node-w2,140,0,2,1,140,140,0,0.0,0.0,0.0,,139,,,0,,13.759,26.733,99.543,0.989
windows,nginx-node-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,139,,,0,,12.469,25.677,102.892,0.835
windows,nginx-node-w4,140,0,4,1,140,140,0,0.0,0.0,0.0,,139,,,0,,11.288,24.653,103.974,0.865
windows,nginx-php_cgi-low,20,0,1,1,0,0,2,1.0,5.0,0.0,,0,,,2,,18.01,26.669,120.509,0.844
windows,nginx-php_cgi-low,20,0,1,1,0,0,0,0.0,0.0,0.0,,0,,,0,,21.492,28.658,101.341,0.909
windows,nginx-php_cgi-w1,140,0,1,1,0,0,40,20.0,100.0,1949.157,165.716,0,,,40,,2539.451,4853.284,4869.764,0.926
windows,nginx-php_cgi-w1,140,0,1,1,0,0,41,20.5,100.0,1977.627,143.544,0,,,41,,2450.69,4712.997,4727.344,1.017
windows,nginx-php_cgi-w2,140,0,2,2,0,0,40,20.0,100.0,1926.875,163.517,0,,,40,,790.673,1479.24,1507.47,0.923
windows,nginx-php_cgi-w2,140,0,2,2,0,0,40,20.0,100.0,1933.232,163.314,0,,,40,,851.561,1550.311,1578.248,1.001
